,,0
Venture Capital,Startups,0.7962138663103696
Cost of Living,Housing,0.7945760639676268
Education,Business Freedom,0.7579546457944077
Environmental Quality,Business Freedom,0.706070084008088
Business Freedom,Healthcare,0.6368989181562575
Business Freedom,Economy,0.6334381856419481
Education,Healthcare,0.6057454358496961
Environmental Quality,Education,0.6017328640169889
Education,Internet Access,0.5309634596445731
Education,Venture Capital,0.5241504613963047
Tolerance,Environmental Quality,0.5195639369959331
Internet Access,Business Freedom,0.5188089940285723
Environmental Quality,Healthcare,0.5169842519031564
Economy,Education,0.5131912826204333
Internet Access,Environmental Quality,0.491949860776836
Travel Connectivity,Education,0.4679389667747203
Healthcare,Tolerance,0.46223961437536465
Leisure & Culture,Startups,0.44696792829005866
Healthcare,Travel Connectivity,0.42059905265136704
Environmental Quality,Economy,0.4155448623064695
Commute,Healthcare,0.3784327870282853
Startups,Education,0.3762387458708956
Safety,Tolerance,0.3743096699464351
Economy,Venture Capital,0.37319362049495225
Internet Access,Economy,0.37294479545553183
Venture Capital,Travel Connectivity,0.368430812541768
Business Freedom,Tolerance,0.36216515327851895
Economy,Startups,0.34231061315334627
Travel Connectivity,Commute,0.33511629705766305
Venture Capital,Leisure & Culture,0.3320037882478385
Leisure & Culture,Travel Connectivity,0.3120393734674781
Healthcare,Internet Access,0.30241864341691016
Education,Commute,0.297148244067527
Leisure & Culture,Outdoors,0.2968385013219444
Taxation,Safety,0.2907017963060567
Tolerance,Education,0.2904753330867916
Healthcare,Safety,0.2837744620459097
Startups,Travel Connectivity,0.27616820727400815
Venture Capital,Outdoors,0.2693005670789397
Internet Access,Venture Capital,0.26630874455038067
Business Freedom,Travel Connectivity,0.26255777577481026
Safety,Travel Connectivity,0.2608816686725725
Cost of Living,Commute,0.25875503340895845
Startups,Outdoors,0.2538485386792163
Business Freedom,Venture Capital,0.2504294002412209
Commute,Business Freedom,0.2492811457290583
Safety,Commute,0.2473762710880834
Education,Leisure & Culture,0.24639333075040187
Internet Access,Travel Connectivity,0.23323948412004183
Business Freedom,Startups,0.21570233236491154
Internet Access,Tolerance,0.2145118261721037
Commute,Leisure & Culture,0.20470103656774485
Internet Access,Startups,0.1932122649963107
Cost of Living,Leisure & Culture,0.18474576661831976
Unnamed: 0,Leisure & Culture,0.18316151808207803
Commute,Environmental Quality,0.18043647689155057
Tolerance,Commute,0.17878173647873707
Commute,Housing,0.1760043123627179
Outdoors,Education,0.16534771642644433
Economy,Healthcare,0.15857251741437772
Internet Access,Commute,0.13997551023003418
Safety,Environmental Quality,0.13906980448394732
Travel Connectivity,Outdoors,0.13778425448020148
Unnamed: 0,Outdoors,0.1121694048247621
Travel Connectivity,Environmental Quality,0.10837193689219717
Commute,Outdoors,0.1069589091298771
Venture Capital,Environmental Quality,0.10303321397566706
Outdoors,Environmental Quality,0.10269103962851933
Unnamed: 0,Healthcare,0.10195549589043039
Taxation,Unnamed: 0,0.09925232148119924
Venture Capital,Commute,0.09713324019023367
Leisure & Culture,Healthcare,0.09224180876131315
Unnamed: 0,Safety,0.0912810954049675
Economy,Taxation,0.08981669594068417
Taxation,Commute,0.08815049635637758
Education,Unnamed: 0,0.08315118738603546
Business Freedom,Outdoors,0.08117198104698303
Leisure & Culture,Internet Access,0.07914447015240808
Unnamed: 0,Commute,0.07702964510220614
Commute,Startups,0.07489592609078698
Safety,Education,0.06328458380399742
Unnamed: 0,Business Freedom,0.06321889550852267
Startups,Unnamed: 0,0.06098008511516515
Business Freedom,Leisure & Culture,0.0547717732628274
Tolerance,Unnamed: 0,0.05292007840300502
Tolerance,Outdoors,0.05221350908322786
Taxation,Cost of Living,0.05061062670143002
Economy,Tolerance,0.049305355343314095
Unnamed: 0,Venture Capital,0.04453050397584159
Outdoors,Safety,0.04288821862076239
Economy,Travel Connectivity,0.038983484653064386
Outdoors,Healthcare,0.03852590500456275
Venture Capital,Healthcare,0.03285845175015437
Tolerance,Taxation,0.02759416676738841
Cost of Living,Startups,0.024625438738856774
Unnamed: 0,Internet Access,0.023453554555517543
Unnamed: 0,Environmental Quality,0.023296818929898568
Taxation,Business Freedom,0.022459373288603632
Tolerance,Travel Connectivity,0.018286925251760455
Housing,Safety,0.01174382575637295
Environmental Quality,Startups,0.009754348405020583
